game_id,game_date,away,home,final_away_total,final_home_total,before_target_team,after_target_team,changed_target_team,before_target_side,after_target_side,changed_target_side,before_confidence,after_confidence,changed_confidence,before_profile_type,after_profile_type,changed_profile_type,before_model_result,after_model_result,changed_model_result,before_predicted_team,after_predicted_team,changed_predicted_team,before_actual_winner,after_actual_winner,changed_actual_winner,before_signal_gap,after_signal_gap,changed_signal_gap,before_core_area_split,after_core_area_split,changed_core_area_split,before_core_area_leader,after_core_area_leader,changed_core_area_leader,before_core_gap,after_core_gap,changed_core_gap,before_team_comp_away_count,after_team_comp_away_count,changed_team_comp_away_count,before_team_comp_home_count,after_team_comp_home_count,changed_team_comp_home_count,before_team_comp_neutral_count,after_team_comp_neutral_count,changed_team_comp_neutral_count,before_edge_strength,after_edge_strength,changed_edge_strength,before_edge_score,after_edge_score,changed_edge_score,before_signal_alignment_code,after_signal_alignment_code,changed_signal_alignment_code,before_ranking_available,after_ranking_available,before_ranking_as_of_date,after_ranking_as_of_date,before_ranking_window_type,after_ranking_window_type,before_ranking_max_data_lag_days,after_ranking_max_data_lag_days,before_ranking_away_metric_count,after_ranking_away_metric_count,before_ranking_home_metric_count,after_ranking_home_metric_count,before_ranking_source_data_dates,after_ranking_source_data_dates,before_lean_summary,after_lean_summary,before_confidence_context,after_confidence_context,before_core_area_leaders_json,after_core_area_leaders_json
20251207_HOU@KC,2025-12-07,HOU,KC,20,10,None,None,False,,,False,Low,Low,False,no_clear_edge,no_clear_edge,False,No Pick,No Pick,False,None,None,False,HOU,HOU,False,1,1,False,2-2,2-2,False,home,home,False,0.125,0.156,True,2,2,False,3,3,False,0,0,False,low,low,False,0.2,0.2,False,not_applicable,not_applicable,False,True,True,2025-12-04,2025-12-04,regular_season_to_date,regular_season_to_date,7,7,52,52,52,52,"2025-11-27,2025-11-30","2025-11-27,2025-11-30",No strong directional edge,No strong directional edge,Signals are not separated enough to support a clear lean,Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}"
20251207_IND@JAX,2025-12-07,IND,JAX,19,36,IND edge,None,True,away,,True,High,Low,True,confirmed_edge,no_clear_edge,True,Incorrect,No Pick,True,IND,None,True,JAX,JAX,False,9,1,True,3-1,3-1,False,away,away,False,0.331,0.222,True,5,3,True,0,2,True,0,0,False,strong,low,True,1.0,0.2,True,strong,not_applicable,True,True,True,2025-12-04,2025-12-04,regular_season_to_date,regular_season_to_date,4,4,52,52,52,52,2025-11-30,2025-11-30,IND holds the broader matchup edge,No strong directional edge,Core Areas support the same side as the signal lean,Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}","{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
20251214_MIN@DAL,2025-12-14,MIN,DAL,34,26,DAL edge,DAL edge,False,home,home,False,High,Low,True,confirmed_edge,split_profile,True,Incorrect,Incorrect,False,DAL,DAL,False,MIN,MIN,False,5,3,True,1-2,2-3,True,home,home,False,0.244,0.394,True,1,2,True,4,3,True,0,0,False,strong,low,True,0.6,0.2,True,mixed,mixed,False,True,True,2025-12-11,2025-12-11,regular_season_to_date,regular_season_to_date,7,7,52,52,55,55,"2025-12-04,2025-12-07","2025-12-04,2025-12-07",DAL holds the broader matchup edge,"DAL shows a slight signal lean, but the broader profile is mixed",Core Areas support the same side as the signal lean,"Core Areas are split, limiting confidence","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""neutral"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Field Control (Special Teams)"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}"
20251214_NYJ@JAX,2025-12-14,NYJ,JAX,20,48,JAX edge,JAX edge,False,home,home,False,High,High,False,confirmed_edge,confirmed_edge,False,Correct,Correct,False,JAX,JAX,False,JAX,JAX,False,6,6,False,0-4,0-4,False,home,home,False,0.411,0.654,True,0,0,False,4,5,True,1,0,True,moderate,strong,True,0.8,1.0,True,mixed,mixed,False,True,True,2025-12-11,2025-12-11,regular_season_to_date,regular_season_to_date,4,4,52,52,52,52,2025-12-07,2025-12-07,JAX holds the broader matchup edge,JAX holds the broader matchup edge,Core Areas support the same side as the signal lean,Core Areas support the same side as the signal lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}"
20251215_MIA@PIT,2025-12-15,MIA,PIT,15,28,PIT edge,PIT edge,False,home,home,False,Low,Low,False,split_profile,coin_flip_profile,True,Correct,Correct,False,PIT,PIT,False,PIT,PIT,False,6,8,True,3-2,2-3,True,away,neutral,True,0.144,0.043,True,0,0,False,5,5,False,0,0,False,strong,strong,False,1.0,1.0,False,mixed,mixed,False,True,True,2025-12-14,2025-12-14,regular_season_to_date,regular_season_to_date,7,7,55,55,52,52,2025-12-07,2025-12-07,"PIT shows a slight signal lean, but the broader profile is mixed","This matchup is close overall, with a slight lean toward PIT","Core Areas are split, limiting confidence","Core Areas are nearly even, limiting confidence","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""home"", ""Field Control (Special Teams)"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Field Control (Special Teams)"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""home""}"
20251221_ATL@ARI,2025-12-21,ATL,ARI,26,19,None,ATL edge,True,,away,True,Low,Medium,True,no_clear_edge,confirmed_edge,True,No Pick,Correct,True,None,ATL,True,ATL,ATL,False,1,3,True,1-2,2-1,True,neutral,away,True,0.008,0.116,True,2,3,True,3,2,True,0,0,False,low,low,False,0.2,0.2,False,not_applicable,strong,True,True,True,2025-12-20,2025-12-20,regular_season_to_date,regular_season_to_date,9,9,52,52,52,52,"2025-12-11,2025-12-14","2025-12-11,2025-12-14",No strong directional edge,ATL holds the broader matchup edge,Signals are not separated enough to support a clear lean,Core Areas support the same side as the signal lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""neutral"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""neutral"", ""Scoring Efficiency"": ""home""}"
20251221_NE@BAL,2025-12-21,NE,BAL,28,24,NE edge,NE edge,False,away,away,False,Low,High,True,coin_flip_profile,confirmed_edge,True,Correct,Correct,False,NE,NE,False,NE,NE,False,5,7,True,3-2,4-1,True,neutral,away,True,0.03,0.213,True,4,5,True,1,0,True,0,0,False,strong,strong,False,0.6,1.0,True,strong,strong,False,True,True,2025-12-20,2025-12-20,regular_season_to_date,regular_season_to_date,6,6,52,52,55,55,2025-12-14,2025-12-14,"This matchup is close overall, with a slight lean toward NE",NE holds the broader matchup edge,"Core Areas are nearly even, limiting confidence",Core Areas support the same side as the signal lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Field Control (Special Teams)"": ""home"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Field Control (Special Teams)"": ""home"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
20251225_DET@MIN,2025-12-25,DET,MIN,10,23,DET edge,DET edge,False,away,away,False,High,High,False,confirmed_edge,confirmed_edge,False,Incorrect,Incorrect,False,DET,DET,False,MIN,MIN,False,6,5,True,3-1,3-1,False,away,away,False,0.331,0.315,True,4,4,False,1,1,False,0,0,False,strong,strong,False,0.6,0.6,False,mixed,mixed,False,True,True,2025-12-22,2025-12-22,regular_season_to_date,regular_season_to_date,1,1,52,52,52,52,2025-12-21,2025-12-21,DET holds the broader matchup edge,DET holds the broader matchup edge,Core Areas support the same side as the signal lean,Core Areas support the same side as the signal lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}","{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
20251228_JAX@IND,2025-12-28,JAX,IND,23,17,None,None,False,,,False,Low,Low,False,no_clear_edge,no_clear_edge,False,No Pick,No Pick,False,None,None,False,JAX,JAX,False,0,0,False,2-2,2-2,False,home,neutral,True,0.106,0.06,True,2,2,False,3,3,False,0,0,False,low,low,False,0.2,0.2,False,not_applicable,not_applicable,False,True,True,2025-12-27,2025-12-27,regular_season_to_date,regular_season_to_date,6,6,52,52,52,52,"2025-12-21,2025-12-22","2025-12-21,2025-12-22",No strong directional edge,No strong directional edge,Signals are not separated enough to support a clear lean,Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}"
20260104_BAL@PIT,2026-01-04,BAL,PIT,24,26,None,None,False,,,False,Low,Low,False,no_clear_edge,no_clear_edge,False,No Pick,No Pick,False,None,None,False,PIT,PIT,False,1,2,True,3-1,3-2,True,away,away,False,0.306,0.146,True,2,2,False,3,3,False,0,0,False,low,low,False,0.2,0.2,False,not_applicable,not_applicable,False,True,True,2026-01-03,2026-01-03,regular_season_to_date,regular_season_to_date,7,7,55,55,52,52,"2025-12-27,2025-12-28","2025-12-27,2025-12-28",No strong directional edge,No strong directional edge,Signals are not separated enough to support a clear lean,Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""neutral"", ""Disruption and Turnovers"": ""home"", ""Field Control (Special Teams)"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}","{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Field Control (Special Teams)"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
