game_id,game_date,away,home,final_away_total,final_home_total,target_team,target_side,confidence,profile_type,lean_summary,confidence_context,signal_away,signal_home,signal_gap,core_area_split,core_area_leader,core_gap,away_core_wins,home_core_wins,neutral_core_areas,team_comp_away_count,team_comp_home_count,team_comp_neutral_count,team_comp_decisive_count,team_comp_total_visible,edge_strength,edge_score,signal_alignment_code,signal_alignment_label,model_result,predicted_team,actual_winner,learning_label,ranking_available,ranking_as_of_date,ranking_window_type,ranking_max_data_lag_days,ranking_away_metric_count,ranking_home_metric_count,ranking_source_data_dates,core_area_leaders_json
20251020_TB@DET,2025-10-20,TB,DET,9,24,None,,Low,no_clear_edge,No strong directional edge,Signals are not separated enough to support a clear lean,5,4,1,1-2,neutral,0.019,1,2,1,3,2,0,5,5,low,0.2,not_applicable,No pick — signals were mixed and did not support a confident prediction,No Pick,None,DET,Neutral — model avoided low-confidence scenario,True,2025-10-19,regular_season_to_date,7,52,52,2025-10-12,"{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""neutral"", ""Scoring Efficiency"": ""home""}"
20251207_CIN@BUF,2025-12-07,CIN,BUF,34,39,BUF edge,home,High,confirmed_edge,BUF holds the broader matchup edge,Core Areas support the same side as the signal lean,0,9,9,0-3,home,0.348,0,3,1,0,5,0,5,5,strong,1.0,strong,All signals agreed,Correct,BUF,BUF,Model aligned with outcome,True,2025-12-04,regular_season_to_date,7,52,52,"2025-11-27,2025-11-30","{""Defensive Control"": ""neutral"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}"
20251013_BUF@ATL,2025-10-13,BUF,ATL,14,24,None,,Low,no_clear_edge,No strong directional edge,Signals are not separated enough to support a clear lean,4,5,1,3-0,away,0.288,3,0,1,2,3,0,5,5,low,0.2,not_applicable,No pick — signals were mixed and did not support a confident prediction,No Pick,None,ATL,Neutral — model avoided low-confidence scenario,True,2025-10-12,regular_season_to_date,14,52,52,"2025-09-28,2025-10-05","{""Defensive Control"": ""neutral"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
20251009_PHI@NYG,2025-10-09,PHI,NYG,17,34,PHI edge,away,Low,conflicting_profile,"PHI has signal support, but Core Areas do not fully confirm the edge",Core Area context conflicts with the signal lean,7,2,5,1-2,home,0.19,1,2,1,3,2,0,5,5,low,0.2,strong,All signals agreed,Incorrect,PHI,NYG,Model miss — learning opportunity logged,True,2025-10-06,regular_season_to_date,1,55,52,2025-10-05,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""neutral""}"
