game_id,game_date,away,home,final_away_total,final_home_total,before_target_team,after_target_team,changed_target_team,before_target_side,after_target_side,changed_target_side,before_confidence,after_confidence,changed_confidence,before_profile_type,after_profile_type,changed_profile_type,before_model_result,after_model_result,changed_model_result,before_predicted_team,after_predicted_team,changed_predicted_team,before_actual_winner,after_actual_winner,changed_actual_winner,before_signal_gap,after_signal_gap,changed_signal_gap,before_core_area_split,after_core_area_split,changed_core_area_split,before_core_area_leader,after_core_area_leader,changed_core_area_leader,before_core_gap,after_core_gap,changed_core_gap,before_team_comp_away_count,after_team_comp_away_count,changed_team_comp_away_count,before_team_comp_home_count,after_team_comp_home_count,changed_team_comp_home_count,before_team_comp_neutral_count,after_team_comp_neutral_count,changed_team_comp_neutral_count,before_edge_strength,after_edge_strength,changed_edge_strength,before_edge_score,after_edge_score,changed_edge_score,before_signal_alignment_code,after_signal_alignment_code,changed_signal_alignment_code,before_ranking_available,after_ranking_available,before_ranking_as_of_date,after_ranking_as_of_date,before_ranking_window_type,after_ranking_window_type,before_ranking_max_data_lag_days,after_ranking_max_data_lag_days,before_ranking_away_metric_count,after_ranking_away_metric_count,before_ranking_home_metric_count,after_ranking_home_metric_count,before_ranking_source_data_dates,after_ranking_source_data_dates,before_lean_summary,after_lean_summary,before_confidence_context,after_confidence_context,before_core_area_leaders_json,after_core_area_leaders_json
20251020_TB@DET,2025-10-20,TB,DET,9,24,None,DET edge,True,,home,True,Low,High,True,no_clear_edge,confirmed_edge,True,No Pick,Correct,True,None,DET,True,DET,DET,False,1,6,True,1-2,1-3,True,neutral,home,True,0.019,0.269,True,3,2,True,2,3,True,0,0,False,low,low,False,0.2,0.2,False,not_applicable,strong,True,True,True,2025-10-19,2025-10-19,regular_season_to_date,regular_season_to_date,7,7,52,52,52,52,2025-10-12,2025-10-12,No strong directional edge,DET holds the broader matchup edge,Signals are not separated enough to support a clear lean,Core Areas support the same side as the signal lean,"{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""neutral"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}"
20251207_CIN@BUF,2025-12-07,CIN,BUF,34,39,BUF edge,BUF edge,False,home,home,False,High,High,False,confirmed_edge,confirmed_edge,False,Correct,Correct,False,BUF,BUF,False,BUF,BUF,False,9,10,True,0-3,0-4,True,home,home,False,0.348,0.409,True,0,0,False,5,5,False,0,0,False,strong,strong,False,1.0,1.0,False,strong,strong,False,True,True,2025-12-04,2025-12-04,regular_season_to_date,regular_season_to_date,7,7,52,52,52,52,"2025-11-27,2025-11-30","2025-11-27,2025-11-30",BUF holds the broader matchup edge,BUF holds the broader matchup edge,Core Areas support the same side as the signal lean,Core Areas support the same side as the signal lean,"{""Defensive Control"": ""neutral"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}"
20251013_BUF@ATL,2025-10-13,BUF,ATL,14,24,None,BUF edge,True,,away,True,Low,High,True,no_clear_edge,confirmed_edge,True,No Pick,Incorrect,True,None,BUF,True,ATL,ATL,False,1,5,True,3-0,3-1,True,away,away,False,0.288,0.333,True,2,3,True,3,1,True,0,1,True,low,moderate,True,0.2,0.4,True,not_applicable,strong,True,True,True,2025-10-12,2025-10-12,regular_season_to_date,regular_season_to_date,14,14,52,52,52,52,"2025-09-28,2025-10-05","2025-09-28,2025-10-05",No strong directional edge,BUF holds the broader matchup edge,Signals are not separated enough to support a clear lean,Core Areas support the same side as the signal lean,"{""Defensive Control"": ""neutral"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}","{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
20251009_PHI@NYG,2025-10-09,PHI,NYG,17,34,PHI edge,PHI edge,False,away,away,False,Low,High,True,conflicting_profile,confirmed_edge,True,Incorrect,Incorrect,False,PHI,PHI,False,NYG,NYG,False,5,10,True,1-2,4-1,True,home,away,True,0.19,0.352,True,3,5,True,2,0,True,0,0,False,low,strong,True,0.2,1.0,True,strong,strong,False,True,True,2025-10-06,2025-10-06,regular_season_to_date,regular_season_to_date,1,1,55,55,52,52,2025-10-05,2025-10-05,"PHI has signal support, but Core Areas do not fully confirm the edge",PHI holds the broader matchup edge,Core Area context conflicts with the signal lean,Core Areas support the same side as the signal lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""neutral""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Field Control (Special Teams)"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""away""}"
